B07NJQ89D5,2022,1,24,shampoo,1,1,3779,4.5,9.15,0,0,1,1,0,1,0,0,0,$8.69 with Subscribe & Save discount,0,33.77 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.27/Fl Oz),"Amazon Brand - Solimo Dandruff Shampoo, Everyday Use, 33.8 Fluid Ounces",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1038431273S73GKFLNKC&url=%2FAmazon-Brand-Dandruff-Shampoo-Everyday%2Fdp%2FB07NJQ89D5%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3HRLZHDGH8FVG%26keywords%3Dshampoo%26qid%3D1643020876%26sprefix%3Dshampo%252Caps%252C669%26sr%3D8-1-spons%26psc%3D1&qualifier=1643020876&id=4721701688194362&widgetName=sp_atf
B094KVYZSC,2022,1,24,shampoo,1,2,106,4.3,12.69,14.99,1,1,1,0,0,0,0,0,$1.90 coupon applied at checkout,0,33.8 Fl Oz (Pack of 1),"Thu, Jan 27",($0.38/Fl Oz),"Dove Hydration Spa Therapy Shampoo with Hyaluronic Serum for Dry Hair, 33.8 Fl Oz",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A005143428A5LV6N88D3W&url=%2FDove-Hydration-Therapy-Shampoo-Hyaluronic%2Fdp%2FB094KVYZSC%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3HRLZHDGH8FVG%26keywords%3Dshampoo%26qid%3D1643020876%26sprefix%3Dshampo%252Caps%252C669%26sr%3D8-2-spons%26psc%3D1&qualifier=1643020876&id=4721701688194362&widgetName=sp_atf
B094KT28DV,2022,1,24,shampoo,1,3,260,4.3,13.49,14.99,1,1,1,0,0,0,0,1,$12.82 with Subscribe & Save discount,0,33.8 Fl Oz (Pack of 1),"Thu, Jan 27",($0.40/Fl Oz),"Dove Hair Therapy Shampoo for Damaged, Breakage Remedy with Nutrient-Lock Serum, 33.8 Fl Oz",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00514902T5ZNIOQ6T3DG&url=%2FDove-Therapy-Shampoo-Breakage-Nutrient-Lock%2Fdp%2FB094KT28DV%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3HRLZHDGH8FVG%26keywords%3Dshampoo%26qid%3D1643020876%26sprefix%3Dshampo%252Caps%252C669%26sr%3D8-3-spons%26psc%3D1&qualifier=1643020876&id=4721701688194362&widgetName=sp_atf
B07N3BN1KS,2022,1,24,shampoo,1,4,7020,4.5,19.48,0,1,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,17.9 Fl Oz (Pack of 2),"Wed, Jan 26",($0.54/Fl Oz),"Pantene, Shampoo and Sulfate Free Conditioner Kit, Paraben and Dye Free, Pro-V Blends, Soothing Rose Water, 17.9 fl oz, Twin Pack",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08680422QDOAJC93F08&url=%2FPantene-Shampoo-Sulfate-Conditioner-Soothing%2Fdp%2FB07N3BN1KS%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3HRLZHDGH8FVG%26keywords%3Dshampoo%26qid%3D1643020876%26sprefix%3Dshampo%252Caps%252C669%26sr%3D8-4-spons%26psc%3D1&qualifier=1643020876&id=4721701688194362&widgetName=sp_atf
B008J2GP9G,2022,1,24,shampoo,1,5,6166,4.6,9.84,13.99,0,1,1,0,0,0,0,0,$9.35 with Subscribe & Save discount,0,25.4 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.39/Fl Oz),"OGX Renewing + Argan Oil of Morocco Hydrating Hair Shampoo, Cold-Pressed Argan Oil to Help Moisturize, Soften & Strengthen Hair, Paraben-Free with Sulfate-Free Surfactants, 25.4 fl oz",http://amazon.com/OGX-Renewing-Strengthens-Sulfate-Free-Surfactants/dp/B008J2GP9G/ref=sr_1_5?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-5
B07BVKK11Q,2022,1,24,shampoo,1,6,12806,4.6,8.46,10.47,0,1,1,0,0,0,0,0,$8.04 with Subscribe & Save discount,0,12.5 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.23/Fl Oz),"Garnier Hair Care Fructis Pure Clean Shampoo, 12.5 Fl Oz, 3 Count",http://amazon.com/Garnier-Fructis-Clean-Shampoo-Packaging/dp/B07BVKK11Q/ref=sr_1_6?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-6
B000TGC8D2,2022,1,24,shampoo,1,7,18528,4.5,5.74,7.99,0,1,1,0,0,0,0,0,$5.45 with Subscribe & Save discount,0,13 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.44/Fl Oz),"OGX Hydrating + Tea Tree Mint Shampoo, Nourishing & Invigorating Scalp Shampoo with Tea Tree & Peppermint Oil & Milk Proteins, Paraben-Free, Sulfate-Free Surfactants, 13 fl oz",http://amazon.com/OGX-Invigorating-Paraben-Free-Sulfate-Free-Surfactants/dp/B000TGC8D2/ref=sr_1_7?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-7
B00FH692PQ,2022,1,24,shampoo,1,8,20643,4.3,29.00,39.99,0,0,1,0,0,1,0,0,0,0,16 Fl Oz (Pack of 1),0,($1.81/Fl Oz),"PURA D'OR Original Gold Label Anti-Thinning Biotin Shampoo (16oz) w/ Argan Oil, Nettle Extract, Saw Palmetto, Red Seaweed, 17+ DHT Herbal Actives, No Sulfates, Natural Preservatives, For Men & Women",http://amazon.com/PURA-DOR-Anti-Thinning-Clinically-Ingredients/dp/B00FH692PQ/ref=sr_1_8?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-8
B002KG28PW,2022,1,24,shampoo,1,9,10149,4.7,9.84,13.99,0,1,1,0,0,0,0,0,$9.35 with Subscribe & Save discount,0,25.4 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.39/Fl Oz),"OGX Nourishing + Coconut Milk Moisturizing Shampoo for Strong & Healthy Hair, with Coconut Milk, Coconut Oil & Egg White Protein, Paraben-Free, Sulfate-Free Surfactants, 25.4 fl oz",http://amazon.com/OGX-Moisturizing-Paraben-Free-Sulfate-Free-Surfactants/dp/B002KG28PW/ref=sr_1_9?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-9
B000MD65FO,2022,1,24,shampoo,1,10,35186,4.7,31.88,37.50,0,1,1,0,0,0,0,0,0,0,33.8 Fl Oz (Pack of 1),"Wed, Jan 26",($0.94/Fl Oz),"Tea Tree Special Shampoo, For All Hair Types",http://amazon.com/Tea-Tree-Special-Shampoo-33-8/dp/B000MD65FO/ref=sr_1_10?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-10
